"id","time_idx","time_h","concentration","solver"
"KbBR_x1",31,25.2677966101695,5.38390693905392,"nlmixr2/rxode2"
"KbBR_x1",32,26.0796610169492,4.98660989555128,"nlmixr2/rxode2"
"KbBR_x1",33,26.8915254237288,4.61863439839969,"nlmixr2/rxode2"
"KbBR_x1",34,27.7033898305085,4.27781341997686,"nlmixr2/rxode2"
"KbBR_x1",35,28.5152542372881,3.96214195614691,"nlmixr2/rxode2"
"KbBR_x1",36,29.3271186440678,3.6697648454296,"nlmixr2/rxode2"
"KbBR_x1",37,30.1389830508475,3.3989637029104,"nlmixr2/rxode2"
"KbBR_x1",38,30.9508474576271,3.14814605692106,"nlmixr2/rxode2"
"KbBR_x1",39,31.7627118644068,2.9158367772632,"nlmixr2/rxode2"
"KbBR_x1",40,32.5745762711864,2.70067002525701,"nlmixr2/rxode2"
"KbBR_x1",41,33.3864406779661,2.50138100244965,"nlmixr2/rxode2"
"KbBR_x1",42,34.1983050847458,2.31679811624435,"nlmixr2/rxode2"
"KbBR_x1",43,35.0101694915254,2.14583607365281,"nlmixr2/rxode2"
"KbBR_x1",44,35.8220338983051,1.98748969129525,"nlmixr2/rxode2"
"KbBR_x1",45,36.6338983050847,1.84082804860248,"nlmixr2/rxode2"
"KbBR_x1",46,37.4457627118644,1.70498893678719,"nlmixr2/rxode2"
"KbBR_x1",47,38.2576271186441,1.57917373545446,"nlmixr2/rxode2"
"KbBR_x1",48,39.0694915254237,1.46264273762613,"nlmixr2/rxode2"
"KbBR_x1",49,39.8813559322034,1.35471083269471,"nlmixr2/rxode2"
"KbBR_x1",50,40.6932203389831,1.25474347926095,"nlmixr2/rxode2"
"KbBR_x1",51,41.5050847457627,1.16215295928489,"nlmixr2/rxode2"
"KbBR_x1",52,42.3169491525424,1.07639491710423,"nlmixr2/rxode2"
"KbBR_x1",53,43.128813559322,0.996965164820712,"nlmixr2/rxode2"
"KbBR_x1",54,43.9406779661017,0.923396722537264,"nlmixr2/rxode2"
"KbBR_x1",55,44.7525423728814,0.85525707149391,"nlmixr2/rxode2"
"KbBR_x1",56,45.564406779661,0.79214560869769,"nlmixr2/rxode2"
"KbBR_x1",57,46.3762711864407,0.733691291647302,"nlmixr2/rxode2"
"KbBR_x1",58,47.1881355932203,0.679550458079099,"nlmixr2/rxode2"
"KbBR_x1",59,48,0.629404805866117,"nlmixr2/rxode2"
"KbBR_x2",0,0.1,1009.57090531731,"nlmixr2/rxode2"
"KbBR_x2",1,0.911864406779661,329.581461849931,"nlmixr2/rxode2"
"KbBR_x2",2,1.72372881355932,201.290442916712,"nlmixr2/rxode2"
"KbBR_x2",3,2.53559322033898,134.609857106895,"nlmixr2/rxode2"
"KbBR_x2",4,3.34745762711864,94.9507743370448,"nlmixr2/rxode2"
"KbBR_x2",5,4.1593220338983,70.5028164869894,"nlmixr2/rxode2"
"KbBR_x2",6,4.97118644067797,55.0281780665559,"nlmixr2/rxode2"
"KbBR_x2",7,5.78305084745763,44.9147755365914,"nlmixr2/rxode2"
"KbBR_x2",8,6.59491525423729,38.0345544867452,"nlmixr2/rxode2"
"KbBR_x2",9,7.40677966101695,33.128133747913,"nlmixr2/rxode2"
"KbBR_x2",10,8.21864406779661,29.4480598840709,"nlmixr2/rxode2"
"KbBR_x2",11,9.03050847457627,26.5489523322236,"nlmixr2/rxode2"
"KbBR_x2",12,9.84237288135593,24.1640517484277,"nlmixr2/rxode2"
"KbBR_x2",13,10.6542372881356,22.131957706751,"nlmixr2/rxode2"
"KbBR_x2",14,11.4661016949153,20.353920673297,"nlmixr2/rxode2"
"KbBR_x2",15,12.2779661016949,18.7683584435685,"nlmixr2/rxode2"
"KbBR_x2",16,13.0898305084746,17.3357926796964,"nlmixr2/rxode2"
"KbBR_x2",17,13.9016949152542,16.0300358754118,"nlmixr2/rxode2"
"KbBR_x2",18,14.7135593220339,14.8329435292279,"nlmixr2/rxode2"
"KbBR_x2",19,15.5254237288136,13.7313653952717,"nlmixr2/rxode2"
"KbBR_x2",20,16.3372881355932,12.715190614348,"nlmixr2/rxode2"
"KbBR_x2",21,17.1491525423729,11.7763461532813,"nlmixr2/rxode2"
"KbBR_x2",22,17.9610169491525,10.9080926007151,"nlmixr2/rxode2"
"KbBR_x2",23,18.7728813559322,10.1045820048665,"nlmixr2/rxode2"
"KbBR_x2",24,19.5847457627119,9.36071363260741,"nlmixr2/rxode2"
"KbBR_x2",25,20.3966101694915,8.67182961193581,"nlmixr2/rxode2"
"KbBR_x2",26,21.2084745762712,8.03381171587771,"nlmixr2/rxode2"
"KbBR_x2",27,22.0203389830508,7.44283273023703,"nlmixr2/rxode2"
"KbBR_x2",28,22.8322033898305,6.89538030054527,"nlmixr2/rxode2"
"KbBR_x2",29,23.6440677966102,6.38821609242429,"nlmixr2/rxode2"
"KbBR_x2",30,24.4559322033898,5.91836673465416,"nlmixr2/rxode2"
"KbBR_x2",31,25.2677966101695,5.48308949814637,"nlmixr2/rxode2"
"KbBR_x2",32,26.0796610169492,5.07983491442174,"nlmixr2/rxode2"
"KbBR_x2",33,26.8915254237288,4.70624063188245,"nlmixr2/rxode2"
"KbBR_x2",34,27.7033898305085,4.36012321051599,"nlmixr2/rxode2"
"KbBR_x2",35,28.5152542372881,4.03946183329624,"nlmixr2/rxode2"
"KbBR_x2",36,29.3271186440678,3.74238420990417,"nlmixr2/rxode2"
"KbBR_x2",37,30.1389830508475,3.46715600657535,"nlmixr2/rxode2"
"KbBR_x2",38,30.9508474576271,3.21217064071598,"nlmixr2/rxode2"
"KbBR_x2",39,31.7627118644068,2.97593843147066,"nlmixr2/rxode2"
"KbBR_x2",40,32.5745762711864,2.75707909295264,"nlmixr2/rxode2"
"KbBR_x2",41,33.3864406779661,2.55431476164812,"nlmixr2/rxode2"
"KbBR_x2",42,34.1983050847458,2.36646219518174,"nlmixr2/rxode2"
"KbBR_x2",43,35.0101694915254,2.19242524286536,"nlmixr2/rxode2"
"KbBR_x2",44,35.8220338983051,2.03118774401559,"nlmixr2/rxode2"
"KbBR_x2",45,36.6338983050847,1.88180785974057,"nlmixr2/rxode2"
"KbBR_x2",46,37.4457627118644,1.74341377589155,"nlmixr2/rxode2"
"KbBR_x2",47,38.2576271186441,1.61519777427564,"nlmixr2/rxode2"
"KbBR_x2",48,39.0694915254237,1.4964111475977,"nlmixr2/rxode2"
"KbBR_x2",49,39.8813559322034,1.38636047666446,"nlmixr2/rxode2"
"KbBR_x2",50,40.6932203389831,1.28440325661238,"nlmixr2/rxode2"
"KbBR_x2",51,41.5050847457627,1.18994426323747,"nlmixr2/rxode2"
"KbBR_x2",52,42.3169491525424,1.10243208102201,"nlmixr2/rxode2"
"KbBR_x2",53,43.128813559322,1.0213558259274,"nlmixr2/rxode2"
"KbBR_x2",54,43.9406779661017,0.9462421711143,"nlmixr2/rxode2"
"KbBR_x2",55,44.7525423728814,0.876652601675195,"nlmixr2/rxode2"
"KbBR_x2",56,45.564406779661,0.812180860978793,"nlmixr2/rxode2"
"KbBR_x2",57,46.3762711864407,0.752450572405683,"nlmixr2/rxode2"
"KbBR_x2",58,47.1881355932203,0.697113035629899,"nlmixr2/rxode2"
"KbBR_x2",59,48,0.64584519221374,"nlmixr2/rxode2"
"CLint_x0.5",0,0.1,1153.26875758841,"nlmixr2/rxode2"
"CLint_x0.5",1,0.911864406779661,428.504375104429,"nlmixr2/rxode2"
"CLint_x0.5",2,1.72372881355932,286.130727852264,"nlmixr2/rxode2"
"CLint_x0.5",3,2.53559322033898,207.219470466148,"nlmixr2/rxode2"
"CLint_x0.5",4,3.34745762711864,156.470932777411,"nlmixr2/rxode2"
"CLint_x0.5",5,4.1593220338983,122.812234076058,"nlmixr2/rxode2"
"CLint_x0.5",6,4.97118644067797,100.009995736122,"nlmixr2/rxode2"
"CLint_x0.5",7,5.78305084745763,84.1779497910508,"nlmixr2/rxode2"
"CLint_x0.5",8,6.59491525423729,72.8521097312036,"nlmixr2/rxode2"
"CLint_x0.5",9,7.40677966101695,64.4646428115594,"nlmixr2/rxode2"
"CLint_x0.5",10,8.21864406779661,58.0159040747551,"nlmixr2/rxode2"
"CLint_x0.5",11,9.03050847457627,52.8669604157537,"nlmixr2/rxode2"
"CLint_x0.5",12,9.84237288135593,48.6080861178342,"nlmixr2/rxode2"
"CLint_x0.5",13,10.6542372881356,44.9752533514393,"nlmixr2/rxode2"
"CLint_x0.5",14,11.4661016949153,41.7971484529647,"nlmixr2/rxode2"
"CLint_x0.5",15,12.2779661016949,38.9615206170074,"nlmixr2/rxode2"
